Baseline,Age6-14,Age15-17,Black,Other,Minor,Chronic,Severe,Blind/Disable,Foster,Population
1,0,1,0,0,0,0,1,0,0,13
1,0,0,0,0,0,0,1,0,1,18
1,0,1,1,0,0,0,1,0,0,20
1,0,1,0,1,0,0,1,1,0,24
1,0,0,1,0,0,0,1,0,1,26
1,1,0,1,0,0,0,1,0,1,27
1,0,1,1,0,0,0,1,1,0,29
1,0,0,0,1,0,0,1,0,0,30
1,1,0,0,0,0,0,1,0,1,31
1,0,1,0,1,0,1,0,0,1,32
1,0,1,1,0,1,0,0,0,1,46
1,0,0,1,0,0,0,1,0,0,46
1,0,1,0,0,1,0,0,0,1,47
1,0,0,0,1,1,0,0,0,1,47
1,1,0,0,1,0,0,1,0,0,49
1,0,1,0,1,1,0,0,1,0,53
1,1,0,0,1,1,0,0,0,1,63
1,0,1,0,0,0,0,0,0,1,77
1,0,1,0,0,0,0,1,1,0,81
1,0,1,1,0,0,0,0,0,1,88
1,1,0,1,0,0,0,1,0,0,93
1,0,1,0,1,0,0,0,1,0,94
1,1,0,0,1,0,0,0,0,1,97
1,0,1,0,0,1,0,0,1,0,114
1,0,0,0,1,0,0,0,0,1,119
1,0,1,0,1,1,0,0,0,0,126
1,0,1,0,0,0,0,0,1,0,129
1,0,1,1,0,1,0,0,1,0,135
1,0,0,1,0,0,0,1,1,0,152
1,0,0,0,1,0,1,0,0,1,155
1,0,0,0,0,0,0,1,0,0,162
1,1,0,0,1,0,1,0,0,1,182
1,1,0,0,0,0,0,1,0,0,182
1,0,0,1,0,1,0,0,0,1,216
1,1,0,1,0,0,0,1,1,0,226
1,0,0,0,0,0,0,1,1,0,245
1,0,1,1,0,0,1,0,0,1,258
1,0,1,0,0,0,1,0,0,1,261
1,0,1,0,1,0,0,0,0,0,261
1,0,1,0,1,0,1,0,1,0,264
1,0,0,0,0,1,0,0,1,0,286
1,0,1,1,0,0,0,0,1,0,331
1,0,0,0,0,1,0,0,0,1,333
1,1,0,1,0,1,0,0,0,1,400
1,1,0,0,0,0,0,1,1,0,412
1,0,1,0,1,0,1,0,0,0,423
1,0,0,0,1,0,0,1,1,0,476
1,1,0,0,0,1,0,0,0,1,485
1,0,0,0,0,0,0,0,1,0,485
1,0,0,1,0,1,0,0,1,0,538
1,0,1,0,0,0,1,0,1,0,588
1,0,0,1,0,0,1,0,0,1,598
1,1,0,0,0,0,0,0,0,1,622
1,1,0,0,1,0,0,1,1,0,643
1,0,0,0,0,0,1,0,0,1,647
1,0,0,1,0,0,0,0,0,1,665
1,1,0,0,0,1,0,0,1,0,674
1,0,0,0,1,1,0,0,1,0,680
1,0,0,0,0,0,0,0,0,1,734
1,1,0,0,0,0,0,0,1,0,744
1,1,0,1,0,0,0,0,0,1,776
1,0,1,1,0,1,0,0,0,0,939
1,0,1,1,0,0,1,0,1,0,965
1,1,0,0,0,0,1,0,0,1,1018
1,1,0,1,0,0,1,0,0,1,1060
1,1,0,1,0,1,0,0,1,0,1093
1,0,0,1,0,0,0,0,1,0,1205
1,1,0,0,1,1,0,0,1,0,1255
1,0,0,0,0,0,1,0,1,0,1304
1,0,1,0,0,1,0,0,0,0,1472
1,0,0,0,1,0,0,0,1,0,1611
1,1,0,0,1,1,0,0,0,0,1878
1,1,0,1,0,0,0,0,1,0,1922
1,0,0,1,0,0,1,0,1,0,2094
1,1,0,0,1,0,0,0,1,0,2185
1,0,1,0,0,0,0,0,0,0,2426
1,1,0,0,0,0,1,0,1,0,2446
1,0,0,0,1,1,0,0,0,0,2615
1,0,1,1,0,0,0,0,0,0,2838
1,0,0,0,1,0,1,0,1,0,3126
1,0,1,1,0,0,1,0,0,0,3882
1,0,1,0,0,0,1,0,0,0,3912
1,1,0,1,0,0,1,0,1,0,3955
1,1,0,0,1,0,1,0,0,0,4611
1,1,0,0,1,0,1,0,1,0,4676
1,0,0,0,1,0,1,0,0,0,5910
1,1,0,0,1,0,0,0,0,0,7156
1,0,0,1,0,1,0,0,0,0,7823
1,0,0,0,1,0,0,0,0,0,10381
1,1,0,1,0,1,0,0,0,0,10557
1,0,0,0,0,1,0,0,0,0,13746
1,1,0,0,0,1,0,0,0,0,18235
1,0,0,0,0,0,1,0,0,0,19487
1,0,0,1,0,0,1,0,0,0,23110
1,1,0,0,0,0,1,0,0,0,26137
1,1,0,1,0,0,1,0,0,0,28689
1,0,0,1,0,0,0,0,0,0,44193
1,1,0,0,0,0,0,0,0,0,44892
1,0,0,0,0,0,0,0,0,0,47827
1,1,0,1,0,0,0,0,0,0,47878
