Population,CL,ER,HO,RX,NP,PO,None,Mean Time,Mean Visits
13,32,5,28,67,5,14,21,41.68241232,13
18,5,5,5,258,5,26,76,61.82712804,20.55555556
20,23,16,22,22,5,38,36,81.36073779,8.1
24,64,5,5,175,5,17,50,58.51524227,13.25
26,5,11,29,155,5,38,92,84.56589918,12.92307692
27,5,5,5,353,5,45,120,78.66616049,20.11111111
29,73,5,17,142,5,35,52,61.48584611,11.34482759
30,16,5,34,301,5,72,124,71.27130426,18.46666667
31,77,5,29,573,5,59,148,57.51184991,28.83870968
32,39,5,5,185,5,28,47,61.87148435,9.84375
46,5,21,5,194,5,45,108,102.2710784,8.239130435
46,16,12,24,218,5,77,210,113.6403919,12.10869565
47,5,5,5,225,5,38,88,88.201734,7.787234043
47,62,5,5,373,5,51,186,80.66647011,14.57446809
49,11,19,32,567,5,108,252,79.20533089,20.26530612
53,63,13,22,208,5,60,124,93.24631271,9.245283019
63,5,5,5,726,15,76,300,86.62706959,18.03174603
77,5,5,11,299,5,53,156,89.03025213,6.935064935
81,157,11,27,470,5,96,131,59.78427201,11.07407407
88,12,28,34,232,11,53,165,105.5004399,6.079545455
93,64,28,92,762,5,133,453,93.74092515,16.55913978
94,31,36,30,241,5,74,217,119.7323304,6.765957447
97,19,21,36,688,19,88,440,111.6163437,13.51546392
114,95,20,44,468,5,82,236,83.4237637,8.307017544
119,58,5,36,824,5,156,478,97.25594665,13.20168067
126,5,5,27,410,5,100,219,103.2665219,6.19047619
129,97,19,26,424,5,85,251,93.31561792,7.046511628
135,14,29,44,318,5,89,257,126.5221928,5.6
152,148,73,97,942,5,268,672,96.49931066,14.5
155,81,28,43,1917,32,368,641,60.27588152,20.06451613
162,67,14,53,1748,5,234,735,73.78617398,17.63580247
182,55,38,73,2402,45,393,815,73.68275111,20.99450549
182,60,22,88,2243,13,252,848,73.75898634,19.37362637
216,81,25,52,1710,23,417,903,84.53077302,14.86574074
226,511,141,274,2651,14,440,1134,70.79454826,22.8539823
245,228,55,114,3392,5,354,1017,63.42118447,21.08979592
258,22,127,141,1007,35,451,481,73.48501066,8.775193798
261,38,90,95,1465,18,385,491,65.87547856,9.892720307
261,5,52,57,635,11,222,517,115.5243442,5.754789272
264,80,136,254,1487,25,586,619,65.74031303,12.0719697
286,65,37,39,2374,14,353,1248,96.9473199,14.44055944
331,66,138,128,501,11,244,609,131.9168679,5.126888218
333,73,16,41,3508,5,375,1423,78.84948767,16.33333333
400,72,97,128,3167,25,698,2000,105.2028848,15.4675
412,707,55,215,7563,24,504,1965,58.12113581,26.77912621
423,54,199,254,1168,42,737,645,77.29859896,7.326241135
476,696,140,390,5511,38,815,2137,67.26781233,20.43487395
485,129,75,105,4309,44,569,2087,91.24154821,15.08865979
485,23,42,96,5140,21,577,2388,89.73262609,17.08659794
538,119,227,238,2453,41,754,2430,125.8465276,11.6394052
588,259,226,355,3127,63,1089,982,61.0417273,10.37585034
598,282,220,353,5930,77,1981,2558,65.72996963,19.06521739
622,60,67,94,5471,39,690,2985,97.88166644,15.1221865
643,876,220,545,9131,41,1199,3252,68.54458629,23.73872473
647,221,92,197,6923,74,1571,2671,65.24616138,18.15919629
665,177,140,211,4189,29,1046,2846,99.19396518,12.98947368
